Title,Price,Location,Year,Mileage,Fuel,Engine,Transmission
Suzuki Cultus  2017 VXR for Sale,PKR 21.5 lacs,Karachi,2017,"168,342 km",Petrol,1000 cc,Manual
Suzuki Swift  2015 DLX Automatic 1.3 for Sale,PKR 23.25 lacs,Karachi,2015,"65,000 km",Petrol,1300 cc,Automatic
Tank 500  2026 HEV High for Sale,PKR 2.5 crore,Karachi,2026,25 km,Hybrid,2000 cc,Automatic
Honda Civic 7th Generation (Facelift) 2005 VTi Prosmatec 1.6 for Sale,PKR 23.5 lacs,Karachi,2005,"96,686 km",Petrol,1600 cc,Automatic
Toyota Corolla  2015 GLi Automatic 1.3 VVTi for Sale,PKR 40.5 lacs,Karachi,2015,"90,000 km",Petrol,1300 cc,Automatic
Daihatsu Mira  2007 X for Sale,PKR 17.5 lacs,Karachi,2007,"88,500 km",Petrol,660 cc,Automatic
KIA Sportage  2023 AWD for Sale,PKR 75 lacs,Karachi,2023,"14,000 km",Petrol,2000 cc,Automatic
Haval Jolion  2024 HEV for Sale,PKR 92 lacs,Karachi,2024,"4,797 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2009 GLi 1.3 VVTi for Sale,PKR 24.5 lacs,Karachi,2009,"172,888 km",Petrol,1300 cc,Manual
Honda BR-V  2021 i-VTEC S for Sale,PKR 49 lacs,Karachi,2021,"55,000 km",Petrol,1500 cc,Automatic
Toyota Corolla  2023 Altis 1.6 X CVT-i for Sale,PKR 60 lacs,Karachi,2023,"34,111 km",Petrol,1600 cc,Automatic
Toyota Prado  2014 TX 2.7 for Sale,PKR 1.55 crore,Karachi,2014,"94,000 km",Petrol,2700 cc,Automatic
Honda Accord  1989  for Sale,PKR 9.5 lacs,Karachi,1989,"10,000 km",Petrol,1500 cc,Manual
Toyota Corolla  2011 GLi Automatic 1.6 VVTi for Sale,PKR 28.25 lacs,Karachi,2011,187 km,Petrol,1600 cc,Automatic
Changan Alsvin  2022 1.5L DCT Lumiere for Sale,PKR 39.5 lacs,Karachi,2022,"41,780 km",Petrol,1500 cc,Automatic
Honda Civic  1999 VTi Oriel Automatic 1.6 for Sale,PKR 16.25 lacs,Karachi,1999,"5,200 km",Petrol,1600 cc,Automatic
Toyota Corolla  2017 Altis Automatic 1.6 for Sale,PKR 42 lacs,Karachi,2017,"67,000 km",Petrol,1600 cc,Automatic
Toyota Passo  2009 X V Package for Sale,PKR 20.25 lacs,Karachi,2009,80 km,Petrol,1000 cc,Automatic
Nissan Sunny  1993  for Sale,PKR 5.1 lacs,Karachi,1993,"200,000 km",Petrol,1500 cc,Manual
Toyota Raize  2020 G for Sale,PKR 55 lacs,Karachi,2020,"10,000 km",Petrol,1000 cc,Automatic
Daihatsu Mira  2022 L for Sale,PKR 38 lacs,Karachi,2022,"19,800 km",Petrol,660 cc,Automatic
Suzuki Liana  2006 RXi for Sale,PKR 8 lacs,Karachi,2006,"250,000 km",Petrol,1300 cc,Manual
Nissan Dayz  2014  for Sale,PKR 22.25 lacs,Karachi,2014,"101,000 km",Petrol,660 cc,Automatic
Mercedes Benz E Class 4th (W212) Generation 2011 E250 for Sale,PKR 36 lacs,Karachi,2011,"65,000 km",Petrol,2100 cc,Automatic
Suzuki Alto  2015  for Sale,PKR 24 lacs,Karachi,2015,"84,000 km",Petrol,660 cc,Automatic
Toyota iQ  2006 100X 2 Seater for Sale,PKR 17 lacs,Karachi,2006,"100,000 km",Petrol,1000 cc,Automatic
